Brand	Model	AndroidSystem	Density
Google	Nexus	4.0.3	240
 
Time	Module	TestCases	CaseDescription	AppVer	TestResults	DetailInfo
2013-08-09 14:27:48	DetailActivityTest	testSelectShowsOfFullScreenlPlay	全屏播放：选集设置	v3.1	Failed	junit.framework.AssertionFailedError: View is null and can therefore not be clicked!
2013-08-09 14:28:41	DetailActivityTest	testSelectShowsOfFullScreenlPlay	全屏播放：选集设置	v3.1	Passed	
2013-08-09 14:29:38	DetailActivityTest	testImageSettingOfFullScreenlPlay	全屏播放：切换画质	v3.1	Passed	
2013-08-09 14:30:28	DetailActivityTest	testFullToSmallOfFullScreenlPlay	全屏切换小屏	v3.1	Passed	
2013-08-09 14:31:17	DetailActivityTest	testLocalPlayOfSetting	本地视频的连播设置	v3.1	Passed	
2013-08-09 14:32:15	DetailActivityTest	testLocalPlayOfPlayProgress	本地播放器的播放进度	v3.1	Passed	
2013-08-09 14:33:12	DetailActivityTest	testLocalPlayOfVolumnProgress	本地播放器的音量控制	v3.1	Passed	
2013-08-09 14:33:39	HistoryActivityTest	testPlayHistoryVideo	点击播放历史页面的视频	v3.1	Passed	
2013-08-09 14:34:00	HistoryActivityTest	testManageHistory	删除播放历史	v3.1	Passed	
2013-08-09 14:34:11	HomePageActivityTest	testScroll	首页滑动	v3.1	Passed	
2013-08-09 14:34:19	HomePageActivityTest	testEnterHistory	点击播放历史icon	v3.1	Passed	
2013-08-09 14:34:28	HomePageActivityTest	testEnterCache	点击缓存icon	v3.1	Passed	
2013-08-09 14:34:38	HomePageActivityTest	testRr	聚合工具栏	v3.1	Passed	
2013-08-09 14:34:48	HomePageActivityTest	testEnterLogin	聚合工具栏-登录	v3.1	Passed	
2013-08-09 14:35:02	HomePageActivityTest	testEnterScoreForMe	聚合工具栏-为我评分	v3.1	Passed	
2013-08-09 14:35:15	HomePageActivityTest	testEnterWonderfullApplication	聚合工具栏—精彩应用	v3.1	Passed	
2013-08-09 14:35:29	HomePageActivityTest	testEnterFeedback	聚合工具栏-反馈帮助	v3.1	Passed	
2013-08-09 14:35:42	HomePageActivityTest	testEnterSurvey	聚合工具栏-问卷调查	v3.1	Passed	
2013-08-09 14:35:53	HomePageActivityTest	testRecommendForMe	首页点击为我推荐	v3.1	Passed	
2013-08-09 14:36:08	HomePageActivityTest	testLatestHistoryPlay	点击首页的最近播放历史	v3.1	Passed	
2013-08-09 14:36:33	LoginActivityTest	testLogin	登录	v3.1	Passed	
2013-08-09 14:36:58	LoginActivityTest	testRegister	注册	v3.1	Passed	
2013-08-09 14:37:26	ProfileActivityTest	testClickProfileImage	个人中心点击头像	v3.1	Passed	
2013-08-09 14:38:02	ProfileActivityTest	testClickLatestHistory	个人中心点击最近播放历史	v3.1	Passed	
2013-08-09 14:38:46	ProfileActivityTest	testSetting	个人中心设置	v3.1	Passed	
2013-08-09 14:39:17	ProfileActivityTest	testEnterCache	个人中心缓存	v3.1	Passed	
2013-08-09 14:39:48	ProfileActivityTest	testEnterHistory	个人中心进入播放历史	v3.1	Passed	
2013-08-09 14:40:19	ProfileActivityTest	testWonderfulApplication	个人中心点击精彩应用	v3.1	Passed	
2013-08-09 14:40:50	ProfileActivityTest	testAddFavourite	个人中心进入收藏	v3.1	Passed	
2013-08-09 14:41:21	ProfileActivityTest	testUpload	个人中心进入上传	v3.1	Passed	
2013-08-09 14:41:47	SearchActivityTest	testEnterSearch	搜索	v3.1	Passed	
2013-08-09 14:42:13	SearchActivityTest	testEnterchineseAndEnglishSearch	输入中英文搜索	v3.1	Passed	
2013-08-09 14:42:39	SearchActivityTest	testEnterlotWordsSearch	输入大量文字搜索	v3.1	Passed	
2013-08-09 14:43:04	SearchActivityTest	testEnternoExistKeySearch	输入不存在的关键字搜索	v3.1	Passed	
2013-08-09 14:43:31	SearchActivityTest	testEnterSymbolAndNumSearch	输入符号和数字搜索	v3.1	Passed	
2013-08-09 14:43:43	SearchActivityTest	testEnterSpaceSearch	输入空格搜索	v3.1	Passed	
